	K20934	K20933	K20932	K20935	K10535	K00371	K00370	K00368	K15864	K03385	K15876	K03320	K02598	K00362	K00363	K00372	K02575	K02189	K02188	K02006	K02007	K02008	K03386	K00428	K05919	K22405	K00958	K00394	K00395	K21816	K02497	K03594	K03711	K02635	K02636	K22225	K22226	K22227	K05565	K05566	K05567	K05568	K05569	K05571	K05299	K15022	K00330	K00331	K00332	K00333	K00337	K00338	K00339	K00340	K00341	K00342	K00343	K05575	K05577	K05579	K05580	K05583	K00346	K00347	K00348	K00349	K00350	K00351	K03612	K03613	K03614	K03615	K03616	K03617	K02108	K02109	K02110	K02111	K02112	K02113	K02114	K02115
GCA_002689655.1												002689655v1_00879,002689655v1_00881,002689655v1_02345												002689655v1_04969,002689655v1_00753,002689655v1_04095,002689655v1_01166,002689655v1_00651,002689655v1_00818,002689655v1_01702								002689655v1_01739,002689655v1_01577	002689655v1_01930,002689655v1_00073					002689655v1_03272																									002689655v1_00587	002689655v1_00586	002689655v1_00585	002689655v1_00584	002689655v1_00583	002689655v1_00582							002689655v1_03474	002689655v1_03472	002689655v1_03473	002689655v1_03470	002689655v1_03468	002689655v1_03471	002689655v1_03467	002689655v1_03469
GCA_003513555.1												003513555v1_01971,003513555v1_01096,003513555v1_01095												003513555v1_03893,003513555v1_03577,003513555v1_01396,003513555v1_01328,003513555v1_00988,003513555v1_04500								003513555v1_02496	003513555v1_04584,003513555v1_02029					003513555v1_03779																									003513555v1_03877	003513555v1_03876	003513555v1_03875	003513555v1_03874	003513555v1_03873	003513555v1_03872							003513555v1_00328	003513555v1_00326	003513555v1_00327	003513555v1_00324	003513555v1_00322	003513555v1_00325	003513555v1_00321	003513555v1_00323
GCA_002712845.1												002712845v1_00060												002712845v1_01635,002712845v1_01037									002712845v1_00170					002712845v1_00718																																								002712845v1_00096	002712845v1_00098	002712845v1_00095	002712845v1_00099	002712845v1_00097
GCA_012270065.1												012270065v1_03151,012270065v1_04457,012270065v1_04456,012270065v1_04454												012270065v1_00404,012270065v1_01975,012270065v1_00647,012270065v1_04269,012270065v1_00197								012270065v1_03597,012270065v1_03360	012270065v1_01785,012270065v1_04015,012270065v1_03509					012270065v1_04611																									012270065v1_02054	012270065v1_02055	012270065v1_02056	012270065v1_02057	012270065v1_02058	012270065v1_02059							012270065v1_03240	012270065v1_03242	012270065v1_03241	012270065v1_03244	012270065v1_03246	012270065v1_03243	012270065v1_03247	012270065v1_03245
GCA_011523605.1												011523605v1_03662,011523605v1_02070,011523605v1_02069,011523605v1_02067												011523605v1_01214,011523605v1_04811,011523605v1_00466,011523605v1_03331,011523605v1_00989								011523605v1_03925,011523605v1_03453	011523605v1_01989,011523605v1_01848,011523605v1_02299					011523605v1_03246																									011523605v1_00551	011523605v1_00550	011523605v1_00549	011523605v1_00548	011523605v1_00547	011523605v1_00546							011523605v1_03572	011523605v1_03570	011523605v1_03571	011523605v1_03568	011523605v1_03566	011523605v1_03569	011523605v1_03565	011523605v1_03567
GCA_011524965.1												011524965v1_01019												011524965v1_00948,011524965v1_02534,011524965v1_02635,011524965v1_02612								011524965v1_00488	011524965v1_02647					011524965v1_01391																													011524965v1_01554	011524965v1_01553								011524965v1_00304	011524965v1_00305		011524965v1_02785	011524965v1_00303	011524965v1_02786	011524965v1_02784
GCA_016779185.1												016779185v1_01506,016779185v1_00539												016779185v1_00342,016779185v1_02098,016779185v1_01689									016779185v1_02541,016779185v1_01727					016779185v1_00728																																					016779185v1_02423	016779185v1_02421	016779185v1_02422	016779185v1_02419	016779185v1_02417	016779185v1_02420	016779185v1_02416	016779185v1_02418
GCA_012270385.1												012270385v1_00465,012270385v1_02813												012270385v1_03718,012270385v1_03553,012270385v1_00699,012270385v1_03683,012270385v1_02054,012270385v1_03953,012270385v1_02053,012270385v1_00530									012270385v1_00602,012270385v1_01743					012270385v1_01921																									012270385v1_03283	012270385v1_03284	012270385v1_03285	012270385v1_03286	012270385v1_03287	012270385v1_03288							012270385v1_01725	012270385v1_01723		012270385v1_01721	012270385v1_01719	012270385v1_01722	012270385v1_01718	012270385v1_01720
GCA_008374075.1										008374075v1_04686	008374075v1_04685	008374075v1_02257,008374075v1_01277				008374075v1_03079																008374075v1_04319	008374075v1_03131,008374075v1_03583					008374075v1_03557		008374075v1_01655,008374075v1_04557	008374075v1_01654,008374075v1_04556	008374075v1_04554,008374075v1_01652,008374075v1_01653,008374075v1_01650,008374075v1_04555,008374075v1_04553	008374075v1_01659,008374075v1_04561	008374075v1_04559,008374075v1_01657															008374075v1_00267				008374075v1_01510	008374075v1_01511	008374075v1_01512	008374075v1_01513	008374075v1_01514	008374075v1_01515	008374075v1_01708	008374075v1_01709	008374075v1_01707	008374075v1_01706	008374075v1_01704	008374075v1_01710	008374075v1_02100	008374075v1_02102	008374075v1_02101	008374075v1_02104	008374075v1_02106	008374075v1_02103	008374075v1_02107	008374075v1_02105
GCA_001642955.1										001642955v1_04517	001642955v1_04518	001642955v1_04140,001642955v1_00323				001642955v1_01950																001642955v1_00210	001642955v1_00283,001642955v1_02720					001642955v1_00925		001642955v1_02779,001642955v1_02143	001642955v1_02780,001642955v1_02142	001642955v1_02140,001642955v1_02782,001642955v1_02781,001642955v1_02784,001642955v1_02141,001642955v1_02139	001642955v1_02775,001642955v1_02147	001642955v1_02145,001642955v1_02777															001642955v1_00628				001642955v1_01391	001642955v1_01390	001642955v1_01389	001642955v1_01388	001642955v1_01387	001642955v1_01386	001642955v1_03319	001642955v1_03318	001642955v1_03320	001642955v1_03321	001642955v1_03323	001642955v1_03317	001642955v1_00764	001642955v1_00766	001642955v1_00765	001642955v1_00768	001642955v1_00770	001642955v1_00767	001642955v1_00771	001642955v1_00769
GCA_007859865.1										007859865v1_03541	007859865v1_03540	007859865v1_00229,007859865v1_05173				007859865v1_00674							007859865v1_04361	007859865v1_02173,007859865v1_04501								007859865v1_04500,007859865v1_03878	007859865v1_00884,007859865v1_01677					007859865v1_01338		007859865v1_05129	007859865v1_05128	007859865v1_05126,007859865v1_05127,007859865v1_05124	007859865v1_05133	007859865v1_05131											007859865v1_01526	007859865v1_01527							007859865v1_04603	007859865v1_04602	007859865v1_04601	007859865v1_04600	007859865v1_04599	007859865v1_04598							007859865v1_04908	007859865v1_04906	007859865v1_04907	007859865v1_04904	007859865v1_04902	007859865v1_04905	007859865v1_04901	007859865v1_04903
GCA_007860125.1										007860125v1_00241	007860125v1_00242	007860125v1_04458,007860125v1_03274,007860125v1_02719		007860125v1_04125		007860125v1_04135								007860125v1_00573,007860125v1_00834									007860125v1_04078,007860125v1_03481					007860125v1_01217		007860125v1_00967	007860125v1_00966	007860125v1_00965,007860125v1_00964,007860125v1_00962	007860125v1_00971	007860125v1_00969											007860125v1_06255,007860125v1_05660	007860125v1_06254,007860125v1_05661			007860125v1_05150				007860125v1_05253	007860125v1_05254	007860125v1_05255	007860125v1_05256	007860125v1_05257	007860125v1_05258							007860125v1_05179	007860125v1_05181	007860125v1_05180	007860125v1_05183	007860125v1_05185	007860125v1_05182	007860125v1_05186	007860125v1_05184
GCA_007860135.1	007860135v1_03743		007860135v1_03745,007860135v1_05225,007860135v1_02572		007860135v1_00259					007860135v1_03521	007860135v1_03522	007860135v1_05173,007860135v1_01398												007860135v1_00910,007860135v1_01906,007860135v1_00735								007860135v1_05683	007860135v1_00409,007860135v1_01327					007860135v1_05630,007860135v1_04595																									007860135v1_02504	007860135v1_02503	007860135v1_02502	007860135v1_02501	007860135v1_02500	007860135v1_02499	007860135v1_06126	007860135v1_06125	007860135v1_06127	007860135v1_06128,007860135v1_06214	007860135v1_06130	007860135v1_06124	007860135v1_02822,007860135v1_06422	007860135v1_06420,007860135v1_02824	007860135v1_02823,007860135v1_06421	007860135v1_06418,007860135v1_02825	007860135v1_06415,007860135v1_02818	007860135v1_06419	007860135v1_06414,007860135v1_02819	007860135v1_06416,007860135v1_02826
GCA_007859835.1			007859835v1_01704							007859835v1_00138	007859835v1_00139	007859835v1_04786,007859835v1_02629				007859835v1_04812							007859835v1_06443	007859835v1_02481								007859835v1_01560	007859835v1_04416,007859835v1_03515					007859835v1_06075																									007859835v1_02343	007859835v1_02344	007859835v1_02345	007859835v1_02346	007859835v1_02347	007859835v1_02348,007859835v1_03923	007859835v1_00435	007859835v1_00434	007859835v1_00436	007859835v1_00437,007859835v1_03003	007859835v1_00440	007859835v1_00433	007859835v1_04868	007859835v1_04866	007859835v1_04867	007859835v1_04864	007859835v1_04861	007859835v1_04865	007859835v1_04860	007859835v1_04862
GCA_000346295.1												000346295v1_02230				000346295v1_06771							000346295v1_04793	000346295v1_05467,000346295v1_00289								000346295v1_06829	000346295v1_05754,000346295v1_05876					000346295v1_00305		000346295v1_04260	000346295v1_06334	000346295v1_06335,000346295v1_06336,000346295v1_06338	000346295v1_04256	000346295v1_04258											000346295v1_06536	000346295v1_06534							000346295v1_00455	000346295v1_00454	000346295v1_00453	000346295v1_00452	000346295v1_00451	000346295v1_00450							000346295v1_01845	000346295v1_01847	000346295v1_01846	000346295v1_01849	000346295v1_01852	000346295v1_01848	000346295v1_01853	000346295v1_01851
GCA_007860095.1										007860095v1_00222	007860095v1_00221	007860095v1_00901				007860095v1_01802					007860095v1_03341			007860095v1_02726,007860095v1_04585,007860095v1_03375								007860095v1_01971	007860095v1_00378					007860095v1_01849	007860095v1_02843	007860095v1_02842,007860095v1_03564	007860095v1_02841,007860095v1_03565	007860095v1_03567,007860095v1_02840,007860095v1_02839,007860095v1_02837,007860095v1_03566,007860095v1_03568	007860095v1_02846,007860095v1_03560	007860095v1_02844,007860095v1_03562											007860095v1_03742	007860095v1_03743							007860095v1_02034	007860095v1_02035	007860095v1_02036	007860095v1_02037	007860095v1_02038	007860095v1_02039							007860095v1_03951,007860095v1_00511	007860095v1_00513,007860095v1_03953	007860095v1_03952,007860095v1_00512	007860095v1_00515,007860095v1_03954	007860095v1_00518,007860095v1_03947	007860095v1_00514	007860095v1_00519	007860095v1_00517,007860095v1_03955
GCA_008312935.1										008312935v1_02700	008312935v1_02701	008312935v1_00230,008312935v1_00261		008312935v1_05296		008312935v1_02306								008312935v1_04995								008312935v1_05032,008312935v1_04208	008312935v1_00714,008312935v1_03121					008312935v1_04069																	008312935v1_05011	008312935v1_05010			008312935v1_01537				008312935v1_05812	008312935v1_05813	008312935v1_05814	008312935v1_05815	008312935v1_05816	008312935v1_05817							008312935v1_01725	008312935v1_01722	008312935v1_01724	008312935v1_01720	008312935v1_01718	008312935v1_01721	008312935v1_01717	008312935v1_01719
GCA_010367485.1										010367485v1_02065	010367485v1_02066	010367485v1_03802,010367485v1_03771		010367485v1_04805		010367485v1_01669								010367485v1_00718								010367485v1_00680,010367485v1_00866	010367485v1_04596,010367485v1_02495					010367485v1_01005																	010367485v1_00702	010367485v1_00703			010367485v1_04116				010367485v1_03512	010367485v1_03511	010367485v1_03510	010367485v1_03509	010367485v1_03508	010367485v1_03507							010367485v1_04305	010367485v1_04302	010367485v1_04304	010367485v1_04300	010367485v1_04298	010367485v1_04301	010367485v1_04297	010367485v1_04299
GCA_002251265.1										002251265v1_00627	002251265v1_00626	002251265v1_01766,002251265v1_05420,002251265v1_01524		002251265v1_04338		002251265v1_04325								002251265v1_04715								002251265v1_04474,002251265v1_03646	002251265v1_03198,002251265v1_04061					002251265v1_03968																	002251265v1_02908	002251265v1_02909							002251265v1_01619	002251265v1_01618	002251265v1_01617	002251265v1_01616	002251265v1_01615	002251265v1_01614							002251265v1_00724	002251265v1_00722	002251265v1_00723	002251265v1_00720	002251265v1_00718	002251265v1_00721	002251265v1_00717	002251265v1_00719
GCA_002901265.1										002901265v1_00978	002901265v1_00979	002901265v1_02469,002901265v1_05428,002901265v1_01439		002901265v1_03722		002901265v1_03708								002901265v1_03026								002901265v1_04514,002901265v1_03200	002901265v1_04350,002901265v1_02038					002901265v1_03243																	002901265v1_03282	002901265v1_03283							002901265v1_01851	002901265v1_01852	002901265v1_01853	002901265v1_01854	002901265v1_01855	002901265v1_01856							002901265v1_00129	002901265v1_00131	002901265v1_00130	002901265v1_00133	002901265v1_00135	002901265v1_00132	002901265v1_00136	002901265v1_00134
GCA_007745635.1										007745635v1_04178	007745635v1_04177	007745635v1_00379,007745635v1_00150		007745635v1_01281,007745635v1_01282	007745635v1_01559	007745635v1_01169								007745635v1_01319,007745635v1_00328								007745635v1_04515	007745635v1_00811,007745635v1_03793					007745635v1_03756																					007745635v1_01014				007745635v1_02787	007745635v1_02786	007745635v1_02785	007745635v1_02784	007745635v1_02783	007745635v1_02782							007745635v1_01022	007745635v1_01024	007745635v1_01023	007745635v1_01026	007745635v1_01028	007745635v1_01025	007745635v1_01029	007745635v1_01027
GCA_002167455.1										002167455v1_04748	002167455v1_04749	002167455v1_00527,002167455v1_04017		002167455v1_01483	002167455v1_01511	002167455v1_00314								002167455v1_02836,002167455v1_00478								002167455v1_00391	002167455v1_00126					002167455v1_01907																					002167455v1_02393				002167455v1_01240	002167455v1_01239	002167455v1_01238	002167455v1_01237	002167455v1_01236	002167455v1_01235							002167455v1_02401	002167455v1_02403	002167455v1_02402	002167455v1_02405	002167455v1_02407	002167455v1_02404	002167455v1_02408	002167455v1_02406
GCA_008629675.1										008629675v1_01429	008629675v1_01428	008629675v1_00360,008629675v1_05685		008629675v1_01230		008629675v1_01235								008629675v1_03523,008629675v1_01049,008629675v1_03351								008629675v1_02067,008629675v1_00769	008629675v1_04173,008629675v1_04504					008629675v1_01662							008629675v1_04727										008629675v1_02981	008629675v1_02980			008629675v1_03018				008629675v1_02962	008629675v1_02963	008629675v1_02964	008629675v1_02965	008629675v1_02966	008629675v1_02967							008629675v1_03553,008629675v1_03170	008629675v1_03555	008629675v1_03169	008629675v1_03557,008629675v1_03167	008629675v1_03559,008629675v1_03174	008629675v1_03556	008629675v1_03560	008629675v1_03558,008629675v1_03166
GCA_007753675.1										007753675v1_07180	007753675v1_07179	007753675v1_07562,007753675v1_00622		007753675v1_05627		007753675v1_05616								007753675v1_03207,007753675v1_06304,007753675v1_03279								007753675v1_07395	007753675v1_06904,007753675v1_07724					007753675v1_06505,007753675v1_02848	007753675v1_05242	007753675v1_05241	007753675v1_05240	007753675v1_05239	007753675v1_05238	007753675v1_05236			007753675v1_02317	007753675v1_02316	007753675v1_02315	007753675v1_02314	007753675v1_02313	007753675v1_02312	007753675v1_02311	007753675v1_02310	007753675v1_02309,007753675v1_02839	007753675v1_02308,007753675v1_02838	007753675v1_02307						007753675v1_00908	007753675v1_00909	007753675v1_00910	007753675v1_00911	007753675v1_00912	007753675v1_00913				007753675v1_06238			007753675v1_02275,007753675v1_05415	007753675v1_05417,007753675v1_02273	007753675v1_02274,007753675v1_05416	007753675v1_05419,007753675v1_02271	007753675v1_05421,007753675v1_02279	007753675v1_05418	007753675v1_05422,007753675v1_02278	007753675v1_05420,007753675v1_02270
GCA_007754155.1										007754155v1_00313	007754155v1_00312	007754155v1_07888,007754155v1_03849		007754155v1_06256		007754155v1_06267								007754155v1_01528,007754155v1_05600,007754155v1_00831,007754155v1_03724								007754155v1_00832,007754155v1_07553	007754155v1_06583,007754155v1_04361					007754155v1_05791,007754155v1_01929,007754155v1_04225	007754155v1_04372	007754155v1_04373	007754155v1_04374	007754155v1_04375	007754155v1_04376	007754155v1_04378			007754155v1_02268	007754155v1_02269	007754155v1_02270	007754155v1_02271	007754155v1_02272	007754155v1_02273	007754155v1_02274	007754155v1_02275	007754155v1_02276,007754155v1_01939	007754155v1_02277,007754155v1_01940	007754155v1_02278						007754155v1_04276	007754155v1_04277	007754155v1_04278	007754155v1_04279	007754155v1_04280	007754155v1_04281							007754155v1_02308,007754155v1_05395	007754155v1_05393,007754155v1_02310	007754155v1_02309,007754155v1_05394	007754155v1_05391,007754155v1_02311	007754155v1_05389,007754155v1_02304	007754155v1_05392	007754155v1_05388,007754155v1_02305	007754155v1_05390,007754155v1_02312
